0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:55 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:57 +0530] "GET /shopping-cart/cancel-order?id=59 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:57 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:59 +0530] "GET /shopping-cart/cancel-order?id=61 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:59 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:08 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:10 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:12 +0530] "GET /shopping-cart/cart-check-out HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:12 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:14 +0530] "GET /shopping-cart/log-out HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:21:09:14 +0530] "GET /shopping-cart/login.jsp HTTP/1.1" 200 2365
